"","NR_074540","NR_114874","NR_075032","NR_043401","NR_044887","NR_074979","NR_102804","NR_029249","NR_040805","NR_074556","NR_074599","NR_074637","NR_074676","NR_074700","NR_025567","NR_036777","NR_041836","NR_042444","NR_043001","NR_044048","NR_044828","NR_074413","NR_074490","NR_074511","NR_074536","NR_075063","NR_102778","NR_113586","NR_113591","NR_113606","NR_114390","NR_115526","NR_117149","NR_118997","NR_025904","NR_026078","NR_027593","NR_028816","NR_036840","NR_037122","NR_040916","NR_041978","NR_042221","NR_043291"
"NR_074540",0,0.100005261255076,0.121369761657443,0.0599055088193672,0.248982781846496,0.201001246954484,0.270751764896295,0.190378790386016,0.223654363722489,0.265680160329087,0.236007746683119,0.0935631003083683,0.271045022138836,0.292891627509919,0.21900481303348,0.223822029826454,0.124715589097083,0.329187439414624,0.153158300009608,0.231205668334116,0.0698314033728661,0.2878529542364,0.254942839221885,0.200473010176039,0.229293023893786,0.261620574100742,0.120058997050252,0.230450220852502,0.237371719581757,0.280506554712034,0.235859783487856,0,0.531445897996337,0.0850092167782584,0.148693128961696,0.25931540158105,0.250591098301767,0.125711346152853,0.266992127109739,0.12191610233707,0.321988657539197,0.274480241354379,0.267247239098729,0.116269311669429
"NR_114874",0.100005261255076,0,0.167426346974006,0.108427708265339,0.246930029789462,0.238699795793299,0.272422862583459,0.197045874332107,0.222206040446198,0.261561679780034,0.25846389810499,0.131340419152765,0.288865931234969,0.327971852259894,0.229283091547024,0.240925234254385,0.133018271664784,0.364863528966649,0.187740704555968,0.256124505427896,0.0992649878332285,0.312525507730602,0.257540831376761,0.217723723445213,0.232580881900947,0.254962898690992,0.163004942961365,0.230987716810445,0.238807349228049,0.302290663863064,0.257852944737602,0.101513259413651,0.538987851441867,0.139160777664333,0.187319415948111,0.26810860742792,0.258181604137326,0.151992239321462,0.282358904171376,0.167784297689827,0.34335924818507,0.272360496694537,0.288297379947982,0.162775429535024
"NR_075032",0.121369761657443,0.167426346974006,0,0.130106380425248,0.256427422748998,0.222286624219178,0.272453940649418,0.198762476389381,0.220953508003682,0.26872729272577,0.24715007098919,0.118615602749646,0.272511822944404,0.311653467226877,0.222061976388195,0.22586988159645,0.157157619396854,0.354714491587861,0.1563007438737,0.231948114336348,0.134308634517705,0.299843457355437,0.250792989681709,0.194342872548688,0.218095456674508,0.265648074347568,0.0116482740989609,0.219350404310248,0.246138498730228,0.294260436590415,0.250046199971661,0.121772507760655,0.522458843140235,0.148456185361328,0.184376710982195,0.273546665188516,0.254212626284216,0.171558420538869,0.267105539788087,0.00727084587089346,0.337974236514906,0.282139096138085,0.26939946702493,0.0787167523020003
"NR_043401",0.0599055088193672,0.108427708265339,0.130106380425248,0,0.252676858664869,0.222484158003183,0.271475830309578,0.189608356530117,0.219953792293927,0.253155894893543,0.247909654778058,0.107461924154433,0.291287454869709,0.310861075689717,0.220333310811738,0.223532513449229,0.111459551522888,0.323622543489593,0.166187274375721,0.232060511298065,0.0504776481372514,0.305554992282519,0.254208282294338,0.210256105874196,0.231354377742986,0.269529230369555,0.12923390591569,0.223411340338923,0.229525191195703,0.281432476272262,0.241810558842406,0.0598632842609666,0.541133327132468,0.0848250461971117,0.146543204279037,0.265200944863687,0.240417487292501,0.129485645617258,0.278887689042243,0.130949804780387,0.334095750490046,0.287566384280979,0.277916426757654,0.119095777396918
"NR_044887",0.248982781846496,0.246930029789462,0.256427422748998,0.252676858664869,0,0.251903963908948,0.28939759128554,0.255939948693331,0.265279441012449,0.264302893355038,0.280455494410216,0.263426803529831,0.266454411301783,0.278075794692057,0.268144724532987,0.241582974834463,0.248392981048051,0.341155883857022,0.282599762463364,0.263580964742776,0.242048940560857,0.312667583405006,0.116715676932611,0.263133286947387,0.257841086913682,0.241759188812422,0.257294726307501,0.270990919774038,0.266090613986445,0.302869777298222,0.283514969695356,0.251677027842506,0.544287271862073,0.261333664433972,0.272136552057161,0.295481910344278,0.273652490215497,0.255527738599462,0.265807711502275,0.259472272484569,0.342909791632306,0.294046117212168,0.279396146150998,0.267402091287226
"NR_074979",0.201001246954484,0.238699795793299,0.222286624219178,0.222484158003183,0.251903963908948,0,0.232976786279476,0.221731668258455,0.213685116635522,0.21295235549302,0.212151488597027,0.227194028341636,0.241802412260806,0.271597156516972,0.228191242114429,0.220268859346312,0.230555124864348,0.347749564112788,0.23931256563193,0.226795095927034,0.20467813790262,0.300391213444154,0.248485455418403,0.221680084008498,0.234771250991189,0.228345105684735,0.221469633201952,0.223543784055884,0.212923775152739,0.254744271564676,0.201656284615396,0.203971969869149,0.512470581467629,0.227034545197105,0.235747832852512,0.229636578328208,0.243702465185684,0.221164819101419,0.244233152369323,0.227844318542703,0.326732761170906,0.244389157363333,0.23868233679332,0.227400187985177
"NR_102804",0.270751764896295,0.272422862583459,0.272453940649418,0.271475830309578,0.28939759128554,0.232976786279476,0,0.278686895877967,0.231176967064495,0.256895774034359,0.155158922796173,0.277619213285978,0.197751271030337,0.317410899353368,0.270478869826346,0.256428530764849,0.269415757185309,0.348287909710152,0.284552853404431,0.258364885540313,0.268413145434998,0.310132398024924,0.283006399663537,0.270246465479414,0.246399364331293,0.272140488203652,0.261040116086828,0.249874485310992,0.226723211055065,0.205103959263146,0.164449283729864,0.272674152106234,0.555134161687812,0.27809489642253,0.284043900052208,0.160048962801817,0.276992987403912,0.269278325571638,0.168517383240266,0.269809658025154,0.347265616936733,0.0457265895014834,0.16889419956707,0.290756008768718
"NR_029249",0.190378790386016,0.197045874332107,0.198762476389381,0.189608356530117,0.255939948693331,0.221731668258455,0.278686895877967,0,0.233888846929502,0.252028392913611,0.254420418894735,0.201947077998702,0.259806017204978,0.302264540110784,0.182036476068809,0.172887633356723,0.193193463387456,0.318777834418821,0.214164605922945,0.188035896399914,0.177119172338605,0.305194930223979,0.262127216821873,0.179508411952009,0.168562052792384,0.244595987800563,0.200470692578821,0.228203961650467,0.228974415281769,0.298310033461585,0.251623296958493,0.193458860050486,0.538126788685633,0.175179310323826,0.205383207436515,0.276133916973128,0.259190435333187,0.201603389646413,0.271478267475851,0.205643273383199,0.333061697885943,0.295596267277251,0.277926480735073,0.205432121796276
"NR_040805",0.223654363722489,0.222206040446198,0.220953508003682,0.219953792293927,0.265279441012449,0.213685116635522,0.231176967064495,0.233888846929502,0,0.198734200674248,0.220332754996246,0.221594055482814,0.235857826749814,0.286948321807184,0.227806138938817,0.225607835245393,0.224934617425823,0.331079811365925,0.249712411152774,0.23514854489912,0.215322459897626,0.302078454234277,0.271759462570019,0.244388662381639,0.22147885978949,0.219277722536462,0.220697166902804,0.0378098226250979,0.156210486446092,0.233816853722294,0.226143488815291,0.226868533477642,0.516146052799606,0.219975620818809,0.250086406867698,0.241074295143987,0.171888564467227,0.23320628729004,0.252416856328384,0.229224991134775,0.309514157292726,0.250206690853468,0.222332831584842,0.23778109160273
"NR_074556",0.265680160329087,0.261561679780034,0.26872729272577,0.253155894893543,0.264302893355038,0.21295235549302,0.256895774034359,0.252028392913611,0.198734200674248,0,0.239611600930385,0.26978979095824,0.251681983060117,0.298468968094029,0.26629423372254,0.278490112505086,0.256800754432503,0.356008779094197,0.283246885841679,0.27445074688371,0.241185203219504,0.319770775878031,0.264274420323658,0.258143064761715,0.24977630144225,0.24683176628998,0.269463717236548,0.216032976268759,0.209218626935713,0.265348158418912,0.232726822140712,0.267576427225687,0.545193516406218,0.249446418804799,0.274179133438015,0.24617965238557,0.224935431499825,0.252656799316273,0.263973676909441,0.272969506880557,0.345724813923403,0.26774664743963,0.243929910795348,0.284015889158629
